L,F
-20.093233082706767, 0.0078007963400763755
-20.281654754169374, 0.0089318272367888
-20.479874067885763, 0.00939682484249198
-20.68292799900987, 0.009022948481331384
-20.885981930133976, 0.00798822917188029
-21.089035861258083, 0.008235216218438722
-21.282420557566756, 0.00875233610910694
-21.49030910609858, 0.00798822917188029
-21.683693802407255, 0.00798822917188029
-21.886747733531358, 0.008576451977402769
-22.08496704724775, 0.00875233610910694
-22.288020978371854, 0.008841626210423717
-22.48140567468053, 0.008489839826224305
-22.68929422321235, 0.0077486496541043035
-22.89234815433646, 0.00721720233176667
-23.090567468052846, 0.006012041057900157
-23.28878678176924, 0.0054871706436512135
-23.491840712893342, 0.004300832634825976
-23.690060026609736, 0.00323686036384011
-23.888279340326125, 0.0025114230575373534
-24.101002506265665, 0.0016733752350366734
-24.2847179677589, 0.0010280198241728823
-24.482937281475294, 0.0006712103162133241
-24.695660447414834, 0.0003434945352039368
-24.879375908908074, 0.00018872880317836554
-25.077595222624463, 0.00008127568074078946
-25.290318388564003, 0.0000319454914790155
-25.488537702280393, 0.000012684305575793648
-25.6915916334045, 0.000003566533100941467
